setor;Interessado;Paginas;Data;Arquivo
SEFAZ - RECEITA;484-2018#HORTA VITAE DISTR. DE ALIMENTOS LTDA#REF. RESTITUIÇÃO DE ICMS#INFORMAÇÃO FISCAL;3;2026-07-10;
SEFAZ - RECEITA;0424-2018#H & H SOUZA LTDA#REF. RESTITUIÇÃO DE ICMS#INFORMAÇÃO FISCAL;4;2026-07-10;
SEFAZ - RECEITA;021-2010#Y. B. YATCHS COMERCIO DE EMBARCAÇÕES LTDA#SOLICITAÇÃO DE REGIME ESPECIAL#PARECER FISCAL;5;2026-07-10;
SEFAZ - RECEITA;007-2010#COTRI-SRE#ALTERA DISPOSITIVOS DO ATO DECLARATORIO Nº 011-2009#ATO DECLARATORIO;6;2026-07-10;
SEFAZ - RECEITA;0201-2018#GRACY A. DA CRUZ-EPP#REF. PROCESSO Nº 0152272015-4#INFORMAÇÃO FISCAL;2;2026-07-10;
SEFAZ - RECEITA;09-2018#FUTURA TEC. INDUSTRIA E COMERCIO DE PRODUTOS ELETRONICOS DA AMAZONIA LTDA#EXCLARECIMENTO#MEMORANDO;12;2026-07-10;
SEFAZ - RECEITA;118-2018#PTRI-PGE#ENCAMINHAMENTO DE DECRETO Nº 0287-2018#OFICIO;3;2026-07-10;
SEFAZ - RECEITA;07-2018#COMSEFAZ#RESTRIÇÃO DE SUBSTITUIÇÃO TRIBUTARIA DE ICMS#OFICIO;4;2026-07-10;
SEFAZ - RECEITA;16-2017#SIFISA-AP, DDA-AP, SFA-AP, MAPA#AÇÃO DE COMBATE A CLANDESTINIDADE#OFICIO;4;2026-07-10;
SEFAZ - RECEITA;002-2018#NUFES#SOLICITAÇAO DE OFICIO#MEMORANDO;3;2026-07-10;
SEFAZ - RECEITA;007-2017#SEFAZ-AP#DESIGNAR SERVIDORES DA COTEPE-ICMS#ORDEM DE SERVIÇO;5;2026-07-10;
SEFAZ - RECEITA;0000-2017#MANOEL D. SILVA EIRELI-EPP#FOLHA DE DESPACHO REF AO PROCESSO 0079492017-9#DIVERSOS;3;2026-07-10;
SEFAZ - RECEITA;0045892017-7#SEFAZ-CE#DENUNCIA DE OPERAÇAO REALIZADA#PROCESSO;2;2026-07-10;
SEFAZ - RECEITA;154-2015#ATACADAO DISTRIBUICAO COMERCIO E INDUSTRIA LTDA#REF AO PROCESSO Nº 020227-2015#INFORMAÇAO FISCAL;3;2026-07-10;
SEFAZ - RECEITA;020-2007#NUCLEO DE CONTROLE DE LANÇAMENTOS TRIBUTARIOS#TABELA DE VALORES VENAIS#MEMORANDO;2;2026-07-10;
SEFAZ - RECEITA;004-2018#SEFAZ-AP#OFICIO CIRCULAR Nº 05-2018-GAB-SEAD#MEMORANDO CIRCULAR;2;2026-07-10;
SEFAZ - RECEITA;060-2018#COFIS#SOLICITAÇAO DE AJUSTE#MEMORANDO;5;2026-07-10;
SEFAZ - RECEITA;013-2018#SEFAZ-AP#PROPOSTA DE ALTERAÇAO DA INSTRUÇAO NORMATIVA#MEMORANDO;1;2026-07-10;
SEFAZ - RECEITA;002-2009#GAB-SRE#PROCEDIMENTOS A SEREM ADOTADOS PELA FISCALIZAÇAO#INSTRUÇAO NORMATIVA;5;2026-07-10;
SEFAZ - RECEITA;004-2017#SEFAZ-AP#ALTERAÇAO NA INSTRUÇAO NORMATIVA Nº 002-2009#INSTRUÇAO NORMATIVA;2;2026-07-10;
SEFAZ - RECEITA;09-2018#NUFES#ENCAMINHAMENTO DE INSTRUÇAO NORMATIVA#MEMORANDO;1;2026-07-10;
SEFAZ - RECEITA;001-2018#SECOM#NORMAS ELEITORAIS#OFICIO CIRCULAR;2;2026-07-10;
SEFAZ - RECEITA;57-2018#COFIS#SUSPENSAO CADASTRAL POR DESCUMPRIMENTO DE OBRIGAÇAO ACESSORIA#MEMORANDO;1;2026-07-10;
SEFAZ - RECEITA;088-2018#SEFAZ-AP#COMUNICADO DE RETIRADA DE ROTEADORES#MEMORANDO;1;2026-07-10;
SEFAZ - RECEITA;0389-2018#LIDER COMERCIO LTDA-EPP#INFORMAÇAO REF AO PROCESSO Nº 0143522015-3#INFORMAÇAO FISCAL;5;2026-07-10;
SEFAZ - RECEITA;529-2017#PETROBRAS DISTRIBUIDORA S.A#RESSARCIMENTO DE ICMS#INFORMAÇAO FISCAL;3;2026-07-10;
SEFAZ - RECEITA;0061-2017#IPIRANGA PRODUTOS DE PETROLEO S.A#RESSARCIMENTO DE ICMS#INFORMAÇAO FISCAL;4;2026-07-10;
SEFAZ - RECEITA;0231-2018#L.M.R SANTOS-ME#INFORMAÇAO FISCAL REF AO PROCESSO Nº 0225432014-9#INFORMAÇAO FISCAL;2;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0165192022-2;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0165202022-5;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0165352022-1;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0164202022-2;7;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0164222022-1;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0167672022-7;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0167682022-1;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0167722022-8;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0167702022-9;7;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0165042022-6;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0165072022-0;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0165062022-5;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0165032022-1;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0165302022-9;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0165332022-2;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0165402022-2;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0165052022-0;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0162722022-4;10;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0167392022-5;10;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0167382022-0;10;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0165932022-4;7;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0165952022-3;7;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0166472022-7;12;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0167642022-3;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0167662022-2;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0049762020-0;4;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0049822020-6;4;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0049812020-1;4;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0049782020-0;4;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0049802020-7;4;2026-07-10;
SEFAZ - RECEITA;BRASIL NORTE BEBIDAS LTDA-RESUMO DA DIAP 2013;5;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0195622017-8;12;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0096432021-5;7;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0070622017-0;15;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0055612017-5;12;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0182132017-4;9;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0182162017-8;7;2026-07-10;
SEFAZ - RECEITA;MEMORANDO Nº 016-2020-SEFAZ-COFIS-NUFAT;2;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0118092020-1;7;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0023422021-0;11;2026-07-10;
SEFAZ - RECEITA;FOLHA DE DESPACHO REF AO PROCESSO Nº 0038192014-3;8;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0071192021-4;4;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0071212021-1;4;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0071222021-6;4;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0071252021-0;5;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0071262021-4;4;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0071312021-5;3;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0071362021-8;5;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0071332021-4;5;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0067732018-3;59;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0067722018-9;41;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0067712018-4;48;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0067682018-2;42;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0067692018-7;31;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0067872018-5;68;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0067792018-0;35;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0152902019-0;49;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0132402019-9;30;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0067782018-6;37;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0067822018-2;61;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0067752018-2;42;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0164322019-5;129;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0152922019-0;39;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0067802018-3;53;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5444602025-0;7;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5442902025-6;7;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5442782025-5;11;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5442792025-0;11;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5442772025-0;13;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5443772025-3;7;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5597762025-0;13;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5138262025-0;11;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5137452025-0;17;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5064892025-9;10;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5134142025-6;8;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5103272025-5;24;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5104062025-6;27;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5099672025-1;7;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5100362025-6;7;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5100392025-0;7;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5100402025-2;7;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5100372025-0;7;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5099472025-4;7;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5099522025-5;7;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5099542025-4;7;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5600312025-8;12;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5443692025-9;8;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5443752025-4;7;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5443362025-4;7;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5443632025-1;7;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5598682025-8;8;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5598642025-0;7;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5598622025-0;7;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5598602025-1;7;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5599472025-9;21;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5599452025-0;15;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5099562025-3;7;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5443942025-7;7;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5443762025-9;7;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5598592025-9;10;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5641002025-2;20;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5640992025-3;20;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5638242025-5;12;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5638262025-4;10;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5635372025-4;29;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5634702025-4;36;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5634642025-9;11;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5634632025-4;11;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5635482025-2;16;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5327982025-1;9;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5327042025-0;12;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5327902025-5;10;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5327322025-2;31;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5324482025-5;11;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5292252025-0;12;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5173452025-6;20;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5173462025-0;20;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5366512025-0;11;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5363442025-1;11;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5331142025-0;14;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5326152025-6;10;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5366222025-3;11;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5366092025-8;10;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5366112025-5;11;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5366142025-9;12;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5366152025-3;10;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5366192025-1;11;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5020582025-5;11;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5020382025-8;11;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5673612025-0;19;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5675342025-8;10;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5640102025-3;20;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5640972025-4;9;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5640682025-8;11;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5640072025-1;25;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5640082025-6;20;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 9867922025-6;22;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 3488452025-4;22;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 3394992025-0;26;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 3162712025-4;16;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 3162722025-9;16;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 2903342025-2;15;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 2899502025-3;4;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 2962632025-7;3;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 2276062025-5;7;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 2027542025-6;26;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 2120102025-5;9;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 2687962025-6;7;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 9931302025-4;16;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 4197222025-0;26;2026-07-10;
SEFAZ - RECEITA;ANDRE ISAAC V R MACIEL- FICHA DE INSCRIÇAO DO CONTRIBUINTE;7;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 3876692025-6;17;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 3840582025-6;25;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 3459392025-6;24;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 3262332025-0;7;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 3030472025-9;23;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 3034502025-1;20;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 3034492025-9;16;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 3035242025-1;21;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 6458672025-5;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 4414702025-9;18;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 6197092025-4;9;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5638152025-6;23;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 6233092025-3;9;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5990992025-5;8;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5912052025-5;15;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5871702025-5;25;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5678062025-4;26;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5681662025-9;19;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 4751612025-1;7;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 4639812025-6;31;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 4096002025-0;23;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 4091502025-4;23;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 3982072025-7;8;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 3980502025-8;9;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0488362026-3;8;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0713492026-7;14;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0713462026-3;12;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0712352026-2;7;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0713352026-5;14;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0712882026-4;7;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0482352026-2;27;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0622362026-8;24;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0618872026-5;28;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0573302026-1;15;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0546252026-3;26;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0417792026-6;26;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 2934952025-7;27;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 2969862025-7;9;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 2806832025-3;20;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 1663882025-7;8;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 2684642025-8;74;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 2961942025-0;9;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 2805182025-8;16;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 2962002025-1;13;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5135752025-5;9;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5177642025-0;24;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 5177632025-5;23;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 4413922025-2;22;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 3262372025-8;9;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0167492022-9;12;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0167522022-0;10;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0171732022-8;10;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0171752022-7;9;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0171762022-1;10;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0171392022-0;10;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0171652022-3;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0171672022-2;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0171662022-8;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0170542022-2;12;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0170522022-3;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0170512022-9;7;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0170742022-0;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0170752022-4;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0170762022-9;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0170772022-3;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0170792022-2;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0170832022-9;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0170782022-8;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0170802022-5;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0170812022-0;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0170822022-4;7;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0171352022-2;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0171112022-7;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0171082022-5;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0171342022-8;7;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0171102022-2;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0171092022-0;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0171062022-6;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0171362022-7;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0171052022-1;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0170402022-0;8;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0166902022-3;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0166892022-0;7;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0166922022-2;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0166962022-0;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0166992022-4;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0167072022-5;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0166932022-7;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0166942022-1;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0166952022-6;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0167092022-4;7;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0166972022-5;7;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0167002022-3;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0167082022-0;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0167012022-8;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0167042022-1;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0167052022-6;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0167062022-0;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0167102022-7;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0167032022-7;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0167022022-2;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0167432022-1;7;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0167422022-7;7;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0170582022-0;10;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0164442022-8;12;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0167482022-4;12;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0168712022-6;12;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0169122022-1;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0169072022-0;7;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0169322022-9;11;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0169212022-0;11;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0168752022-4;31;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0165852022-0;18;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0165022022-7;13;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0165392022-0;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0165162022-9;18;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0170722022-0;11;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0168012022-0;8;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0163332022-7;9;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0163312022-8;9;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0165232022-9;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0165142022-0;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0164982022-4;7;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0165292022-6;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0165272022-7;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0165242022-3;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0165102022-1;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0165092022-9;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0171402022-3;12;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0171542022-5;11;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0171532022-0;11;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0165282022-1;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0165382022-5;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0165342022-7;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0165462022-0;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0165412022-7;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0165212022-0;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0165452022-5;6;2026-07-10;
