setor;Interessado;Paginas;Data;Arquivo
SEFAZ - RECEITA;PROCESSO Nº 0105182021-9;7;2026-07-10;
SEFAZ - RECEITA;CESBE S. A ENGENHARIA E EMPREENDIMENTOS- NOTAS FISCAIS 2012;60;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0132822020-6;453;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0046752018-6;113;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0163042022-0;10;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0163052022-5;10;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0163062022-0;10;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0163072022-4;11;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0163082022-9;10;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0163092022-3;11;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0163102022-6;10;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0163112022-0;11;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0163122022-5;11;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0166042022-9;7;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0165842022-5;9;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0165262022-2;11;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0165182022-8;11;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0165222022-4;16;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0166442022-3;11;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0166452022-8;11;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0165922022-0;10;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0166592022-0;7;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0163742022-6;9;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0168622022-7;9;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0168302022-7;11;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0171692022-1;13;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0163562022-8;14;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0164912022-2;12;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0165992022-1;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0168972022-0;8;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0168942022-7;8;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0168702022-1;14;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0164722022-0;11;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0170972022-0;9;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0163422022-6;8;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0164212022-7;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0163552022-3;8;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0164182022-5;8;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0164452022-2;8;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0164482022-6;8;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0164462022-7;8;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0164432022-3;17;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0164762022-8;11;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0164742022-9;16;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0170652022-0;11;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0168282022-0;17;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0164752022-3;15;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0170582022-0;10;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0170022022-5;18;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0165252022-8;6;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0169442022-1;15;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0166332022-5;7;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0208022021-7;20;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0171182022-9;9;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0169812022-2;8;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0168992022-0;13;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0167352022-7;9;2026-07-10;
SEFAZ - RECEITA;PROCESSO Nº 0163712022-2;12;2026-07-10;
SEFAZ - RECEITA;002-2017#SEFAZ-AP#ENCAMINHAMENTO DO MEMORANDO Nº 001-2017#MEMORANDO;96;2026-07-10;
